"weight","feed"
179,"broadbean"
160,"broadbean"
136,"broadbean"
227,"broadbean"
217,"broadbean"
168,"broadbean"
108,"broadbean"
124,"broadbean"
143,"broadbean"
140,"broadbean"
309,"linseed"
229,"linseed"
181,"linseed"
141,"linseed"
260,"linseed"
203,"linseed"
148,"linseed"
169,"linseed"
213,"linseed"
257,"linseed"
244,"linseed"
271,"linseed"
243,"soybean"
230,"soybean"
248,"soybean"
327,"soybean"
329,"soybean"
250,"soybean"
193,"soybean"
271,"soybean"
316,"soybean"
267,"soybean"
199,"soybean"
171,"soybean"
158,"soybean"
248,"soybean"
423,"sunflower"
340,"sunflower"
392,"sunflower"
339,"sunflower"
341,"sunflower"
226,"sunflower"
320,"sunflower"
295,"sunflower"
334,"sunflower"
322,"sunflower"
297,"sunflower"
318,"sunflower"
325,"corn"
257,"corn"
303,"corn"
315,"corn"
380,"corn"
153,"corn"
263,"corn"
242,"corn"
206,"corn"
344,"corn"
258,"corn"
368,"casein"
390,"casein"
379,"casein"
260,"casein"
404,"casein"
318,"casein"
352,"casein"
359,"casein"
216,"casein"
222,"casein"
283,"casein"
332,"casein"
